Konstrukteur	Fahrer	VORHER woanders	Eigener Konstrukteur	DANACH woanders	F1DB-Befund	Deine Sheet-Notiz	KORREKTUR / ANMERKUNG
Rebaque	Héctor Rebaque	hesketh 1977 (6) / lotus 1978-1979 (27)	rebaque 1979 (3)	brabham 1980-1981 (22)	fuhr DANACH noch woanders	er kann selbst wechseln, dann stirbt der Konstrukteur	BESTAETIGT: dein Zweifel trifft zu. Hesketh -> Lotus -> eigener Konstrukteur 1979 -> Brabham 1980/81. Konstrukteur starb, Fahrer fuhr weiter.
Amon	Chris Amon	lola 1963 (7) / lotus 1963-1965 (12) / brabham 1965-1966 (2) / cooper 1966 (1) / ferrari 1967-1969 (27) / march 1970 (13) / matra 1971-1972 (22) / tecno 1973 (5) / tyrrell 1973 (2) / brm 1974 (2)	amon 1974 (4)	ensign 1975-1976 (10) / wolf-williams 1976 (1)	fuhr DANACH noch woanders		
JBW	Brian Naylor	cooper 1957-1958 (2)	jbw 1959-1961 (6)	-	kam von woanders, danach Schluss	eigener Wagen fuer sich alleine, verschwindet mit ihm	
Bellasi	Silvio Moser	brabham 1966-1969 (13) / cooper 1967 (1)	bellasi 1970-1971 (6)	-	kam von woanders, danach Schluss	eigener Wagen fuer sich alleine, verschwindet mit ihm	
Apollon	Loris Kessel	brabham 1976 (5)	apollon 1977 (1)	-	kam von woanders, danach Schluss	eigener Wagen fuer sich alleine, verschwindet mit ihm	
LEC	David Purley	march 1973 (5) / token 1974 (1)	lec 1977 (5)	-	kam von woanders, danach Schluss		
Gilby	Keith Greene	cooper 1959-1960 (2)	gilby 1961-1962 (3)	-	kam von woanders, danach Schluss	Sohn des Besitzers; fuhr nur fuer diesen Konstrukteur	
Scarab	Lance Reventlow	cooper 1960 (1)	scarab 1960 (3)	-	kam von woanders, danach Schluss		
Scirocco	Tony Settember	emeryson 1962 (2)	scirocco 1963 (5)	-	kam von woanders, danach Schluss	nicht sicher	BESTAETIGT ("nicht sicher"): Emeryson 1962 -> Scirocco 1963.
Behra-Porsche	Jean Behra	gordini 1952-1954 (20) / maserati 1955-1958 (25) / brm 1958 (9) / ferrari 1959 (3)	behra-porsche 1959 (1)	-	kam von woanders, danach Schluss	nicht sicher, fuhr selbst fuer Ferrari	BESTAETIGT ("nicht sicher"): genau 1 Rennen im eigenen Auto gegen lange Werkskarriere (Gordini/Maserati/BRM/Ferrari).
Emeryson	Paul Emery	-	emeryson 1956 (1)	connaught 1958 (1)	fuhr DANACH noch woanders		
Aston Butterworth	Bill Aston	-	aston-butterworth 1952 (3)	-	reiner Ein-Auto-Fall, kein Wechsel		
McGuire	Brian McGuire	-	mcguire 1977 (1)	-	reiner Ein-Auto-Fall, kein Wechsel	eigener Wagen fuer sich alleine, verschwindet mit ihm	
Stebro	Peter Broeker	-	stebro 1963 (1)	-	reiner Ein-Auto-Fall, kein Wechsel	eigener Wagen fuer sich alleine, verschwindet mit ihm	
LDS	Doug Serrurier	-	lds 1962-1965 (3)	-	reiner Ein-Auto-Fall, kein Wechsel	eigener Wagen, verschwindet mit ihm; ein Rennen mit Token	ZWEI FEHLER: (1) "ein Rennen mit Token" falsch - Token 1974 fuhren Pryce/Purley/Ashley, vermutlich mit David Purley verwechselt. (2) kein Ein-Auto-Fall: auch Sam Tingle (1963-68) und Jackie Pretorius (1965) fuhren LDS, der Konstrukteur ueberlebte Serrurier um 3 Jahre.
Alta Special	Peter de Klerk	-	alfa-special 1963-1965 (2)	brabham 1969-1970 (2)	fuhr DANACH noch woanders	eigener Wagen, verschwindet mit ihm	FEHLER umgekehrt: Konstrukteur endete 1965, de Klerk fuhr DANACH noch Brabham (1969/70). Nicht "verschwindet mit ihm".
Veritas	Ernst Loof	-	veritas 1953 (1)	-	reiner Ein-Auto-Fall, kein Wechsel	selbst nur 1x dabei, aber niemals Wechsel	TEILFEHLER: "nur 1x dabei" stimmt (1953), aber Veritas hatte 15 Fahrer - kein Owner-Driver-Auto, sondern breiter Konstrukteur.
Klodwig	Ernst Klodwig	heck 1952-1953 (2)	-	-	fuhr NIE fuer klodwig!		FEHLER: "Klodwig" existiert nicht als Konstrukteur. Ernst Klodwig fuhr HECK (1952/53) - steht bereits auf der Landsmaenner-Liste. Zeile umbenennen oder streichen.
Greifzu	(Dora Greifzu - fuhr nie)	-	greifzu 1953 (1) - Fahrer: Rudolf Krause	-	Fahrer und Konstrukteur passen nicht zusammen	eigener Wagen, mit IHR verschwindet der Konstrukteur	FEHLER: kein Owner-Driver-Fall. Greifzu wurde von RUDOLF KRAUSE gefahren (1953). Paul Greifzu starb 1952 vor dem F1-Einsatz; Dora fuehrte das Team, fuhr aber nie. Zeile streichen.
